geGloss|geSentence|viSentence
HEUTE NACHT WEST REGEN PUNKT BAYERN REGION BRAND BURG REGION KLAR STERN KOENNEN SEHEN REGION TEILWEISE NEBEL|in der nacht regnet es in der nordwesthälfte mancherorts von bayern bis nach brandenburg ist es zum teil klar stellenweise breitet sich nebel aus|Trong đêm trời mưa ở nửa phía tây bắc của Bavaria đến Brandenburg ở một số nơi, nó được trải ra rõ ràng ở những nơi
AM TAG WEST OST UND SUEDOST POSS SEIN FREUNDLICH SONNE NORDWEST DANN REGEN KOMMEN|am tag ist es im osten und südosten abseits einige nebelfelder recht freundlich in der nordwesthälfte regnet es dagegen gebietsweise der regen breitet sich langsam ostwärts aus|Vào ban ngày, nó khá thân thiện ở phía đông và đông nam cách xa một vài cánh đồng sương mù ở nửa phía tây bắc của nó, mặt khác, trời mưa chậm. Mưa đang dần lan ra về phía đông
WIND SCHWACH MAESSIG|der wind weht schwach gelegentlich auch mäßig|Gió thỉnh thoảng thổi yếu
HEUTE NACHT PUNKT TEMPERATUR SECHS BIS EINS GRAD KLAR STERN KOENNEN SEHEN BIS MINUS EINS GRAD|heute nacht temperaturen zwischen sechs und ein grad wo es aufklart bis minus drei grad|Tối nay nhiệt độ từ sáu đến một độ, nơi nó được làm sạch đến trừ ba độ
FUENF BIS ZEHN SUED BIS ZWOELF GRAD|am tag fünf bis zehn grad im süden bis zwölf grad|Vào ngày thứ năm đến mười độ ở phía nam đến mười hai độ
DONNERSTAG NACH MITTAG UND ABEND WEST STARK REGEN KOMMEN MIT STURM|am donnerstag nachmittag und abend kommt von westen teilweise kräftiger regen auf damit einher gehen sturmböen|Vào chiều thứ năm và tối, mưa lớn từ phương Tây đến với cơn bão
FREITAG REGEN BESONDERS NORD STURM|am freitag regenschauer vor allem im norden sturm|vào cơn mưa thứ sáu, đặc biệt là trong cơn bão phía bắc
SAMSTAG DANN NORD REGEN REGION FREUNDLICH UND TEILWEISE ENORM MILD|am samstag regnet es besonders im norden im süden ist es teilweise freundlich und sehr mild|Vào thứ bảy, trời mưa đặc biệt là ở phía bắc ở miền Nam, một phần thân thiện và rất ôn hòa
MORGEN WETTER WIE AUSSEHEN MONTAG DREISSIG MAI|und nun die wettervorhersage für morgen montag den dreißigsten mai|Và bây giờ dự báo thời tiết cho ngày mai thứ Hai
MORGEN WIEDER HOCH DRUCK KOMMEN SONNE WARM AUCH TEMPERATUR STEIGEN|auch morgen sorgt hoher luftdruck für sonnenschein und zusammen mit warmluft auch für steigende temperaturen|Ngay cả ngày mai, áp suất không khí cao đảm bảo ánh nắng mặt trời và cùng với không khí ấm áp thậm chí tăng nhiệt độ
PUNKT BISSCHEN TIEF KOMMEN|vom atlantik nähert sich aber wieder ein tief|Tuy nhiên, một cách tiếp cận thấp từ Đại Tây Dương
DIENSTAG MEISTENS OST REGION REGEN WIND KOENNEN|und am dienstag muss vor allem in der osthälfte deutschlands mit unwettern gerechnet werden|Và vào thứ ba, đặc biệt là ở nửa phía đông của Đức, nó phải được dự kiến với những cơn bão
NORD HEUTE NACHT WOLKE REGION TEILWEISE BISSCHEN REGEN|im norden ist es heute nacht wolkig stellenweise fällt etwas regen|Ở phía bắc trời nhiều mây tối nay, một số mưa rơi
SUED REGION WENIG WOLKE VERSCHWINDEN PUNKT AUCH STERN KOENNEN SEHEN|weiter südlich nur noch wenige wolken vielerorts ist es auch klar|Xa hơn về phía nam của chỉ một vài đám mây ở nhiều nơi cũng rõ ràng
BISSCHEN NEBEL|hier und da bildet sich nebel|Ở đây và có các hình thức sương mù
MORGEN NORD WOLKE HIMMEL SONST PUNKT MEISTENS SONNE|im norden morgen zunächst noch dichtere wolken sonst scheint verbreitet die sonne|Ở phía bắc ngày mai ban đầu thậm chí còn có những đám mây dày đặc hơn dường như đang lan rộng
NACH MITTAG ABEND REGION BESONDERS BERG KOENNEN BISSCHEN REGEN|am nachmittag und abend im westen und süden vor allem über den bergland einzelne zum teil kräftige schauer und gewitter|Vào buổi chiều và buổi tối ở phía tây và phía nam, đặc biệt là trên những ngọn núi, vòi hoa sen và giông bão, một số trong đó
ALLGAEU HEUTE FUENF GRAD REGION ROSTOCK PUNKT HAMBURG BIS VIERZEHN GRAD|im allgäu heute nacht kühle fünf grad in rostock und hamburg bis vierzehn grad|Trong Allgäu tối nay, năm độ ở Rostock và Hamburg lên đến mười bốn độ
MORGEN ZWANZIG BIS ACHT ZWANZIG GRAD FLUSS REGION NEUN ZWANZIG BIS EINS DREISSIG GRAD|morgen temperaturen von zwanzig bis achtundzwanzig entlang des rheins neunundzwanzig bis einunddreißig grad|Nhiệt tình từ hai mươi đến hai mươi -dọc theo sông Rhine hai mươi đến ba mươi độ
DIENSTAG WEST SINKEN KUEHL KOMMEN REGEN GEWITTER PUNKT AUCH STARK REGEN|am dienstag wird es im westen deutlich kühler und es überqueren uns schauer und gewitter die vor allem in der osthälfte örtlich unwetterpotenzial haben|Vào thứ ba, nó sẽ mát hơn nhiều ở phương Tây và nó vượt qua những cơn mưa rào và giông bão có tiềm năng bão địa phương, đặc biệt là ở nửa phía đông
GLEICH SONNE FRUEHLING TAG SCHOEN JETZT NORD MEHR STURM|nach dem ziemlich einheitlich sonnigen und milden frühlingstag wird es vor allen dingen im norden ein bisschen kühler|Sau ngày mùa xuân nắng và ôn hòa khá đồng đều, nó sẽ mát hơn một chút ở phía bắc, đặc biệt là ở phía bắc
REGION SKANDINAVIEN KOMMEN AUCH REGEN BISSCHEN FRUEHLING ANFANG NORD SEE VERSCHWINDEN MOEGLICH VERSCHWINDEN MITTE EUROPA VIEL REGEN NICHT NEIN|da kommt kühlere luft mit diesem tief das nach skandinavien zieht ein bisschen regen auch dabei dass zumindest die vulkanasche über der nordsee auch ausgewaschen werden könnte und viel regen aber in mitteleuropa insgesamt nicht|Không khí mát hơn đi kèm với mức thấp này kéo đến Scandinavia một chút mưa cũng ít nhất là tro núi lửa trên Biển Bắc cũng có thể bị cuốn trôi và rất nhiều mưa nhưng không phải ở Trung Âu nói chung
BIS DONNERSTAG BLEIBEN STROEMEN|auf jeden fall bleiben wir aber bis einschließlich donnerstag in dieser nordwestströmung|Trong mọi trường hợp, chúng tôi ở trong dòng chảy Tây Bắc này cho đến thứ năm
HEUTE NACHT HIER DEUTSCH LAND VIEL VERAENDERN NEGALP AUCH SCHAUER PUNKT SCHAUER MORGEN FRUEH NORDWEST|bei uns heute nacht passiert wenig vereinzelt noch ein paar schauer gegen morgen dann wieder im nordwesten|Đêm nay với chúng tôi, một vài lần tắm xảy ra với chúng tôi ở Tây Bắc một lần nữa ở Tây Bắc vào buổi sáng
RUHIG KLAR HIMMEL SEHEN BISSCHEN TEMPERATUR KALT MINUS|und bei dieser klaren nacht gibt es im nordosten auch schon wieder leichte minusgrade|Và vào đêm rõ ràng này, cũng có một chút điểm trừ ở phía đông bắc
NORD EINIGERMASSEN ACHT GRAD ZEHN ELF GRAD|und morgen dann vor allen dingen im norden nur noch höchsttemperaturen so zwischen acht und zehn elf grad|Và ngày mai, đặc biệt là ở miền Bắc, chỉ có nhiệt độ tối đa từ tám đến mười độ
SUED REGION PUNKT ACHTZEHN GRAD NOCH|im süden zum beispiel im breisgau wenigstens noch achtzehn grad|Ở miền Nam, ví dụ ở Breisgau, ít nhất mười tám độ
IN KOMMEND NORD KUEHL NEG SCHOEN REGEN WIND REGEN WEHEN|und die nächsten tage die bringen dem norden richtig ungemütliches aprilwetter mit wind und schauern|Và vài ngày tới, họ mang đến cho miền Bắc thực sự khó chịu thời tiết tháng tư với gió và mưa rào
AUCH KUEHL|es wird auch entsprechend kühl|Nó cũng sẽ rất tuyệt cho phù hợp
DEUTSCH LAND DURCHSCHNITT HUNDERT SIEBEN ZWANZIG PROZENT SOLL REGEN UEBER|in ganz deutschland im durchschnitt sind einhundertsiebenundzwanzig prozent der sollmenge gefallen|Trung bình, một trăm hai mươi phần trăm số lượng mục tiêu của mục tiêu đã giảm trung bình
NUR STOCKEN W MUND DREI SOMMER DREI MONATE DREI MONATE BISHER MEHR REGEN ALS EIN JAHR|alleine rostock warnemünde dort fielen in den drei sommermonaten mehr regen als sonst im ganzen jahr fällt|Rostock Warnemünde một mình đã rơi ở đó trong ba tháng mùa hè nhiều hơn bình thường quanh năm
NACHT IM MOMENT ENORM KUEHL BISSCHEN REGEN SEE PUNKT NOCH REGEN ABER|die nächte derzeit sehr kühl mit einigen regenschauern auch an der küste|Những đêm hiện đang rất tuyệt với một số cơn mưa rào trên bờ biển
SONST REGION RUHIG WETTER MITTE REGION MEHR NUR PUNKT BIS NEUN GRAD ZWISCHEN|sonst aber ruhig das wetter und verbreitet einstellige temperaturen|Nếu không thì thời tiết và lan truyền nhiệt độ đơn lẻ
PUNKT MEHR WOLKE MEHR SONNE BISSCHEN MAL BISSCHEN SCHAUER|morgen wird es dann auch im norden bei mehr wolken als sonne bleiben ab und zuschauer|Ngày mai nó sẽ ở lại phía bắc với nhiều đám mây hơn mặt trời và khán giả
MITTE SUED ZWISCHEN MEHR SONNE OFT|richtung mitte und süden werden die sonnenanteile deutlich größer die sonne scheint häufig|về phía giữa và phía nam, cổ phiếu mặt trời lớn hơn nhiều, mặt trời chiếu sáng thường xuyên
BERG PUNKT KOENNEN MOEGLICH BISSCHEN REGEN|im alpenbereich da kann es vereinzelt mal einen schauer geben|Trong khu vực núi cao thỉnh thoảng có thể có một tiếng rùng mình
LETZTE SOMMER TAG MORGEN AUCH BISSCHEN SOMMER TEMPERATUR KAUM MEHR NEG NORD|und der letzte sommertag sozusagen wird sich auch morgen mit wenig sommerlichen temperaturen vor allen dingen im norden verabschieden|Và ngày mùa hè vừa qua, có thể nói, sẽ nói lời tạm biệt với miền Bắc với nhiệt độ mùa hè nhỏ, đặc biệt là ngày mai với nhiệt độ mùa hè nhỏ
PUNKT SCHAFFEN VIER ZWANZIG GRAD|im süden immerhin bis vierundzwanzig grad|Ở miền Nam ít nhất hai mươi độ
ABER IN KOMMEND TAG SOMMER NOCHEINMAL ZURUECK BIS WOCHENENDE|aber in den nächsten tagen kommt der sommer nochmal zurück bis zum wochenende|Nhưng trong vài ngày tới, mùa hè sẽ trở lại cho đến cuối tuần
NORD PUNKT MEHR WARM ABER DANN DAZU MEHR REGEN GEWITTER|auch im norden mehr wärme aber dafür auch wieder mehr schauer und gewitter|Thậm chí còn ấm hơn ở miền Bắc, nhưng nhiều cơn mưa rào và giông bão
JETZT WETTER ZU ENDE SCHOEN ABEND NOCH POSS EUCH|das war es vom wetter ihnen noch einen schönen abend|Đó là một buổi tối tốt đẹp từ thời tiết
GUT ABEND LIEB ZUSCHAUER BEGRUESSEN|guten abend liebe zuschauer|Chào buổi tối khán giả thân yêu
WETTER ABER IN KOMMEND MEHR KALT|viel wetter gibt es nicht aber es wird kälter bei uns|Không có nhiều thời tiết, nhưng nó trở nên lạnh hơn với chúng tôi
IM MOMENT NORDOST NAH RUSSLAND|und diese kälte die sammelt sich derzeit im nordosten europas über russland|Và cái lạnh này hiện đang tập trung ở phía đông bắc châu Âu qua Nga
GEFRIEREN MINUS ZEHN GRAD MAXIMAL|da haben wir morgen höchsttemperaturen von minus zehn bis minus zwanzig grad|Chúng tôi có nhiệt độ tối đa từ âm mười đến trừ hai mươi độ vào ngày mai
ENORM|und diese kälte hat noch einen einflussreichen freund kann man sagen|Và cái lạnh này có một người bạn có ảnh hưởng mà bạn có thể nói
AUCH KOMMEN HOCH DRUCK KOMMEN OST KOMMEN KUEHL WEHEN MITTE EUROPA IN KOMMEND|ein starkes hochdruckgebiet hier und das führt aus dem osten mit dem ostwind etwas kältere luft noch nach mitteleuropa in den nächsten tagen|Một khu vực áp lực cao ở đây và điều này dẫn từ phía đông với gió đông đến không khí lạnh hơn một chút đến Trung Âu trong vài ngày tới
HIER NORD DEUTSCHLAND SCHON HEUTE MERKEN HEUTE FRUEH BIS NACH MITTAG SINKEN|das haben wir heute in norddeutschland schon gemerkt da sind die temperaturen am frühen morgen dann bis zum nachmittag noch gesunken|Chúng tôi đã nhận thấy rằng ở miền bắc nước Đức hôm nay vì nhiệt độ vào sáng sớm đã giảm cho đến chiều
WEITER SINKEN FROST MINUS SIEBEN MINUS ACHT GRAD|und sie werden weiter absinken frost gibt es minus sieben minus acht grad|Và họ sẽ tiếp tục chìm băng giá, có bảy điểm trừ tám độ
IN KOMMEND NOCH KALT SUEDWEST BISSCHEN FROST NULL BIS MINUS ZWEI GRAD GEFAHR GLATT SCHNEE REGEN|zum teil kann es noch kälter werden und auch im südwesten leichter frost null bis minus zwei grad da kann es sehr glatt werden heute nacht denn wir erwarten leichte schnee und regenfälle in den niederungen|Đôi khi nó có thể trở nên lạnh hơn và thậm chí ở Tây Nam, Frost Zero sẽ trừ hai độ vì nó có thể rất mịn tối nay vì chúng tôi mong đợi tuyết và mưa nhẹ ở vùng đất thấp
REGION REGEN KOENNEN|am oberrhein kann es regen sein|Trời có thể mưa ở thượng nguồn
REGION BEWOELKT REGION BISSCHEN SCHNEE REGEN NORDOST|sonst trüber himmel im größten teil deutschlands ein bisschen schneefall vielleicht nordöstlich der elbe noch|Nếu không, có một chút tuyết trong phần lớn của Đức, một chút tuyết rơi có thể là phía đông bắc của Elbe
SONST SONNE REGION WEST WIE HEUTE AEHNLICH|und ein paar sonnenstrahlen kommen sicherlich wieder im westen raus ähnlich wie heute|Và một vài tia nắng mặt trời chắc chắn sẽ xuất hiện ở phương Tây tương tự như ngày hôm nay
DAZU OST WEHEN KALT ZEIGEN BILDSCHIRM NORDOST MINUS FUENF MINUS SIEBEN GRAD MAXIMAL|dazu haben wir noch einen starken ostwind an den küsten und weiterhin die kälte die frostige kälte vor allen dingen im nordosten deutschlands minus fünf bis minus sieben grad höchsttemperatur|Để làm điều này, chúng ta cũng có một cơn gió đông mạnh mẽ trên bờ biển và cái lạnh, cái lạnh băng giá, đặc biệt là ở phía đông bắc của Đức, trừ năm đến nhiệt độ tối đa bảy độ
HIER DEUTSCHLAND PUNKT SUEDWEST AUFLOESEN ZWEI BIS FUENF GRAD|leichtes tauwetter im südwesten zwei bis fünf grad|Light tan băng ở Tây Nam hai đến năm độ
REGION OST WIEDER STARK BLEIBEN IN KOMMEND|und diese hohen temperaturgegensätze die behalten wir in den nächsten tagen|Và chúng tôi sẽ giữ những tốc độ nhiệt độ cao này trong vài ngày tới
AB SAMSTAG NEU SCHNEE REGEN|ab samstag kommt dazu neuer schnee und regen|Từ thứ bảy sẽ có tuyết và mưa mới
SCHOEN ABEND MACHEN GUT WUENSCHEN|ihnen noch einen schönen abend und machen sie es gut|Chúc một buổi tối vui vẻ và làm tốt
JETZT MORGEN WETTER WIE AUSSEHEN FREITAG SIEBTE OKTOBER|und nun die wettervorhersage für morgen freitag den siebten oktober|Và bây giờ dự báo thời tiết cho ngày mai thứ Sáu ngày thứ bảy
KUEHL KOMMEN DEUTSCH LAND KOMPLETT|kühlere luft aus polaren breiten macht sich in ganz deutschland breit|Không khí mát hơn từ chiều rộng cực lan khắp nước Đức
REGION KOMMEN REGEN WIND WECHSELHAFT|mit ihr einher geht wechselhaftes wetter mit schauern und viel wind|Với cô ấy, thời tiết thay đổi với vòi hoa sen và rất nhiều gió
IN KOMMEND AUCH KALT WETTER WECHSELHAFT|und auch in den kommenden tagen erwartet uns unbeständiges wetter|Và ngay cả trong những ngày tới, chúng ta có thể mong đợi thời tiết không nhất quán
ABER IN KOMMEND AB SONNTAG TEMPERATUR STEIGEN MILD|allerdings wird es dabei ab sonntag wieder milder|Tuy nhiên, nó sẽ trở lại nhẹ hơn từ Chủ nhật
HEUTE NACHT REGEN KOMMEN PUNKT VERSCHWINDEN AUCH|in der nacht verlagert sich ein regengebiet über die südosthälfte in den übrigen landesteilen lockert es auch mal auf|Trong đêm, một khu vực mưa đang chuyển sang nửa phía đông nam của các khu vực khác của đất nước
TAG TAGSUEBER PUNKT WOLKE HIMMEL REGEN SONNE BIS GRAUPEL GEWITTER|am tag dichte wolken etwas sonne einige schauer teilweise mit graupel oder gewittern|Vào ban ngày, những đám mây dày đặc một số vòi hoa sen với một cặp hoặc giông bão
HEUTE NACHT ZEHN GRAD NORD VIER GRAD SAUER LAND|heute nacht zehn grad an der nordsee und vier grad im sauerland|Tối nay mười độ trên Biển Bắc và bốn độ ở Sauerland
TAG ACHT GRAD REGION SONST REGION ZEHN BIS FUENFZEHN GRAD|am tag acht grad an den alpen sonst meist zehn bis fünfzehn grad|nếu không thì thường là mười đến mười lăm độ trong ngày trên dãy Alps
SAMSTAG KOENNEN WOLKE MEISTENS REGION SCHAUER|am samstag viele wolken einige schauer|Nhiều đám mây vào thứ bảy
REGION REGEN FRUEH BERG REGEN|in der südwesthälfte regnet es länger an den alpen ergiebig|Ở phía tây nam, trời mưa trên dãy Alps trong một thời gian dài
SCHNEE GRENZE AUF HUNDERT METER|die schneefallgrenze liegt bei ein tausend meter|Đường viền tuyết là một ngàn mét
SONNTAG OST FREUNDLICH SONNE WEST WIEDER NEU REGEN|am sonntag im osten freundliche momente im westen aber wieder neue regenfälle|Vào Chủ nhật ở những khoảnh khắc thân thiện ở phía đông ở phương Tây một lần nữa những cơn mưa mới
JA MONTAG INSGESAMT WECHSELHAFT VIEL WIND DABEI|am montag insgesamt unbeständiges wetter mit viel wind|Vào thứ Hai, tổng thể thời tiết không nhất quán với nhiều gió
SONNTAG NORD LUFT KOMMEN MILD|am sonntag folgt dann milde atlantikluft|Vào Chủ nhật, Atlantic Air nhẹ sẽ theo sau
NORDWEST HEUTE REGION REGEN NORDOST BISSCHEN REGEN WENN DREIHUNDERT FUENFHUNDERT METER SCHNEE SCHNEIEN|im nordwesten gibt es heute nacht örtlich schauer im südosten anfangs etwas regen oberhalb von dreihundert bis fünfhundert metern auch schnee|Ở phía tây bắc có một cơn mưa nhỏ trên ba trăm đến năm trăm mét ở Tây Bắc đêm nay ở phía đông nam
REGION WOLKE NEBEL TEIL AUCH KLAR|im übrigen land teils wolkig oder neblig teils klar|Ở phần còn lại của đất nước một phần mây hoặc sương mù một phần rõ ràng
OST MORGEN BISSCHEN NEBEL SONNE DABEI ABEND PUNKT BLEIBEN VERLAUFEN TROCKEN|im osten zeigt sich morgen auch mal die sonne und bis zum abend bleibt es dort noch trocken|Mặt trời sẽ được hiển thị ở phía đông vào ngày mai và nó vẫn khô ở đó cho đến tối
SONST REGION NEBEL WEST REGEN KOMMEN SPAETER TATSAECHLICH OST SUED REGEN BERG AUCH SCHNEE SCHNEIEN NUR ANFANG|sonst meist stark bewölkt erst regnet es im westen später dann auch weiter richtung osten und süden im bergland fällt anfangs auch schnee|Nếu không, chủ yếu là mây, trời sẽ chỉ mưa ở phía tây sau này về phía đông và phía nam trên núi
HEUTE NACHT GRENZE EINS NULL ORT MOEGLICH GLATT|heute nacht verbreitet werte um den gefrierpunkt oder leichter frost örtlich kann es glatt werden|Đêm này đang lan truyền các giá trị để đóng băng hoặc sương giá nhẹ cục bộ, nó có thể trơn tru
MORGEN EINS GRAD SUEDOST RHEIN ZEHN GRAD|morgen reichen die temperaturen von einem grad in südostbayern bis zehn grad am niederrhein|Ngày mai nhiệt độ của một độ ở Đông Nam Bavaria lên đến mười độ trên phạm vi thấp hơn Rhine
JETZT WETTER WIE AUSSEHEN MORGEN DIENSTAG ZWEITE ZWOELFTE JULI|und nun die wettervorhersage für morgen dienstag den zwölften juli|Và bây giờ dự báo thời tiết cho ngày mai thứ ba ngày mười hai tháng 7
NORD ENGLAND KOMMEN HOCH KOMMEN MORGEN WETTER FREUNDLICH VIEL SONNE|der keil eines nordatlantikhochs beschert uns morgen meist freundliches wetter mit viel sonnenschein|Nêm của một đỉnh cao Bắc Đại Tây Dương. Ngày mai thường cho chúng ta thời tiết thân thiện với nhiều ánh nắng
REGION ITALIEN TIEF KOMMEN AB MORGEN NACHT WIEDER REGEN GEWITTER KOENNEN UNWETTER AUCH|von der biskaya nähert sich aber schon das nächste tief das ab morgen nacht wieder für schauer und gewitter mit unwetterpotenzial sorgt|Tuy nhiên, từ Biskaya, mức thấp tiếp theo sẽ đến gần vòi hoa sen và giông bão với tiềm năng bão từ tối mai
MORGEN BLEIBEN WOLKE KOMMEN KOENNEN SCHAUER GEWITTER REGION SONNE|die halten sich zum teil auch morgen und bringen vereinzelte schauer oder gewitter sonst scheint häufig die sonne|Một số người trong số họ theo kịp vào ngày mai và mang theo một vài vòi hoa sen hoặc giông bão nếu không thì mặt trời thường
BERG PUNKT WEST NACH MITTAG KOENNEN HEISS GEWITTER|über den bergen im süden und westen können sich am nachmittag ein paar hitzegewitter entwickeln|Vào buổi chiều, một vài thời tiết sưởi ấm có thể phát triển trên những ngọn núi ở phía nam và phía tây
ABEND FRANKREICH KOMMEN SCHAUER GEWITTER UNWETTER|am späten abend ziehen dann von frankreich schauer und teilweise unwetterartige gewitter heran|Vào buổi tối muộn, mưa rào và đôi khi là cơn giông như bão di chuyển từ Pháp
GEWITTER STURM NORMAL OST WEHEN SCHWACH MAESSIG|von schauer und gewitterböen abgesehen wird der ostwind morgen schwach bis mäßig|Ngoài mưa rào và giông bão, gió đông sẽ yếu đến mức trung bình vào ngày mai
PUNKT ACHT GRAD SECHSZEHN SUEDWEST|acht grad heute nacht an der dänischen grenze sechzehn im südwesten|Tám độ đêm này ở biên giới Đan Mạch mười sáu ở Tây Nam
MORGEN PUNKT VIER ZWANZIG DREISSIG NORD EINS ZWANZIG BIS VIER ZWANZIG GRAD|dort morgen bis vierunddreißig in küstennähe einundzwanzig bis vierundzwanzig grad|Ngày mai đến ba mươi tuổi đến cuối bờ biển, hai mươi đến hai mươi độ
MITTWOCH IN KOMMEND KOMMEN SCHAUER GEWITTER KOENNEN UNWETTER GEWITTER|am mittwoch breiten sich schauer und gewitter nach osten aus dabei besteht unwettergefahr|Vào thứ Tư, những cơn mưa rào và giông bão ở phía đông, có nguy cơ bão
DONNERSTAG NORD KUESTE REGEN WIND REGION WECHSELHAFT|am donnerstag an der küste zeitweise regen und windig sonst wechselhaft|Vào thứ năm trên bờ biển, mưa và gió có thể thay đổi
FREITAG WOLKE FREUNDLICH WECHSELHAFT NUR BISSCHEN SCHAUER|am freitag teils wolkig teils freundlich und nur vereinzelte schauer|Vào thứ Sáu, một phần mây, một phần thân thiện và chỉ bị cô lập
WETTER MORGEN DONNERSTAG NEUN ZWANZIG JULI WIE AUSSEHEN|und nun die wettervorhersage für morgen donnerstag den neunundzwanzigsten juli|Và bây giờ dự báo thời tiết cho ngày mai thứ Năm ngày hai mươi tháng 7
DIESE WOCHENENDE FREUNDLICH MEHR WARM|am wochenende wird es vorübergehend freundlicher und wärmer|Vào cuối tuần, nó trở nên thân thiện và ấm áp hơn
HEUTE NACHT REGION KOENNEN REGEN KOENNEN GEWITTER HIMMEL KLAR|heute nacht gibt es hier und da zum teil kräftige schauer anfangs auch einzelne gewitter sonst ist es teils klar teils dicht bewölkt|Tối nay đôi khi có vòi hoa sen mạnh ở đây và lúc ban đầu, nếu không thì giông bão cá nhân, nếu không thì nó rõ ràng là nhiều mây
SPEZIELL NORD ALPEN NORD ALPEN ENORM REGEN|vor allem im nordstau der alpen sind ergiebige regenmengen möglich|Lượng mưa được trình bày đặc biệt có thể xảy ra ở vùng tắc nghẽn phía bắc của dãy Alps
NACHT ZEHN BIS VIERZEHN GRAD NORD SECHSZEHN GRAD|in der nacht zehn bis vierzehn an der see bis sechzehn grad|Mười đến mười bốn trên hồ đến mười sáu độ trong đêm
MORGEN SECHSZEHN GRAD ALLGAEU BIS DREI ZWANZIG FLUSS PUNKT|morgen temperaturen von sechzehn grad im allgäu bis dreiundzwanzig an der spree|Nhiệt độ ngày mai của mười sáu độ trong Allgäu lên đến hai mươi -ba trên spree
FREITAG SONNE WOLKE WECHSELHAFT SPEZIELL SUED REGEN KOENNEN|am freitag gibt es mal sonne mal wolken und vor allem im süden noch kräftige schauer|Vào thứ sáu có những đám mây và, đặc biệt là ở miền Nam, vẫn còn mạnh mẽ
JETZT WIE AUSSEHEN WETTER MORGEN MITTWOCH DREISSIG PUNKT JANUAR|und nun die wettervorhersage für morgen mittwoch den dreißigsten januar|Và bây giờ dự báo thời tiết cho ngày mai thứ tư
DAUER REGEN MILD LUFT TAUEN FLUSS HOCHWASSER BESONDERS BERG HOCHWASSER|dauerregen plus milde luft sorgen für tauwetter was wiederum dazu führt dass einige flusspegel ansteigen vor allem im bergland|Mưa vĩnh viễn cộng với không khí nhẹ đảm bảo tan băng, điều này có nghĩa là một số mực nước sông tăng lên, đặc biệt là ở vùng núi
UNWETTER WARNUNG TEIL PUNKT|es gilt mancherorts unwetterwarnungen des deutschen wetterdienstes|Ở một số nơi, nó áp dụng cho các cảnh báo thời tiết khắc nghiệt của Dịch vụ thời tiết Đức
NACHT BESONDERS NORDOST REGEN SUED KLAR DANN TAG AUCH|in der nacht regnet es am meisten im norden und in der osthälfte im süden lockert es auch am tag mal auf|Vào ban đêm, trời mưa nhiều nhất ở phía bắc và ở nửa phía đông ở phía nam, nó lỏng lẻo vào ban ngày
SONST REGEN KOMMEN PUNKT KOMMEN|ansonsten zieht ein regenband von nordwest nach südost|Nếu không, một dải mưa di chuyển từ tây bắc sang đông nam
WENN REGEN UND REGION KLAR ABER NORDWEST PUNKT REGEN AUCH GEWITTER PUNKT NORD|ist es durchgezogen lockert es hier und da auf trotzdem fallen einige schauer im norden sind kurze gewitter möglich|Nếu nó được kéo qua nó, nó sẽ lỏng lẻo ở đây và ở đó.
WIND FRISCH STARK|der wind weht frisch bis stark|Gió thổi mới đến mạnh mẽ
STURM DABEI NORD SCHWER STURM WENN BERG PUNKT REGION ORKAN KOENNEN|sturmböen sind mit dabei im norden auch schwere sturmböen auf den höheren bergen orkanböen|Những cơn bão bão cũng là những cơn gió mạnh ở phía bắc trên vùng núi cao hơn cơn gió mạnh
DONNERSTAG FREUNDLICH IM VERLAUF NEU REGEN STURM|der donnerstag beginnt freundlich später aus westen neuer regen und teilweise stürmischer wind|Thứ năm sẽ thân thiện sau đó từ phía tây mới mưa và đôi khi gió bão
FREITAG TEIL PUNKT REGEN MIT WIND|am freitag regnet es gebietsweise dabei ist es windig|Vào thứ sáu, trời mưa ở một số khu vực, trời rất gió
SAMSTAG REGEN SCHNEE SCHNEIEN PUNKT NORDWEST IM VERLAUF MEHR FREUNDLICH|am samstag regnet oder schneit es verbreitet im nordwesten wird es später freundlicher|Vào thứ bảy trời mưa hoặc tuyết nó lan rộng ở Tây Bắc, nó sẽ thân thiện hơn sau đó
JETZT WETTER VORAUSSAGE MORGEN SONNTAG VIER ZWANZIG OKTOBER|und nun die wettervorhersage für morgen sonntag den vierundzwanzigsten oktober|Và bây giờ dự báo thời tiết cho ngày mai Chủ nhật
EIN PAAR-TAGE ZWEI TAG NOCH WECHSELHAFT|in den nächsten beiden tagen erwartet uns noch unbeständiges wetter|Trong hai ngày tới, chúng ta vẫn có thể mong đợi thời tiết không nhất quán
KOMMEN KALT DAS IST-ES REGEN BERG UMWANDELN SCHNEE|da es wieder kälter wird verwandelt sich der regen im bergland in schnee|Vì nó trở nên lạnh hơn, mưa ở đất nước miền núi biến thành tuyết
DIENSTAG FREUNDLICH NACHT KLAR KALT|ab dienstag wird es unter hochdruckeinfluss freundlicher in teilweise klaren nächten aber auch wieder frostig|Từ thứ ba, nó sẽ được thân thiện hơn dưới ảnh hưởng của áp lực cao trong những đêm đôi khi rõ ràng nhưng cũng đóng băng lại
HEUTE NACHT PUNKT REGEN SUEDWEST REGEN|heute nacht fällt in vielen regionen regen der im südwesten mitunter kräftig ist|Mưa tối nay rơi ở nhiều vùng đôi khi mạnh ở phía tây nam
